Strain,Light (µmol photons/m²/s),pH,Salinity (PSU),Temperature (°C),N:P Ratio,Nitrate (mg/L),Phosphate (mg/L),Lipid Percentage (%),Biomass (g/L),Lipid Productivity (g/L/day),Culture_time_days
Monoraphidium braunii,212.44,6.82,6.05,25.09,91.09,1004.1,5.38,50.93,0.7,0.0934,10.0
Nannochloropsis gaditana,115.29,7.82,30.64,21.12,24.32,47.35,1.16,25.59,1.14,0.0267,12.0
Chlamydomonas reinhardtii,205.55,7.71,1.74,23.26,29.28,794.82,4.39,27.02,4.24,0.0692,10.0
Monoraphidium braunii,215.64,7.1,7.26,26.55,99.52,984.56,5.71,50.51,0.54,0.0754,10.0
Chlorella sorokiniana,60.03,6.84,-1.05,23.48,0.36,66.77,7.83,35.06,2.38,0.0471,10.0
Nannochloropsis gaditana,94.45,7.95,28.52,20.55,28.19,49.15,1.13,25.54,1.48,0.0266,12.0
Chlorella sorokiniana,62.38,7.27,-0.53,23.29,-0.43,59.62,5.96,37.42,2.53,0.0489,10.0
Nannochloropsis gaditana,92.69,7.73,31.77,21.79,27.58,48.7,1.31,22.3,1.26,0.0216,12.0
Nannochloropsis gaditana,91.9,8.16,30.67,21.16,25.47,58.55,1.05,24.63,1.62,0.026,12.0
Chlorella sorokiniana,69.31,6.84,-0.04,23.19,-5.04,59.49,5.78,30.42,2.37,0.0524,10.0
Monoraphidium braunii,183.05,6.73,5.03,25.37,100.72,975.54,6.24,49.21,0.61,0.068,10.0
Monoraphidium braunii,209.83,6.79,7.23,26.57,95.43,1074.2,6.06,41.15,0.57,0.0838,10.0
Chlamydomonas reinhardtii,212.8,7.66,-0.32,25.34,21.27,998.39,6.02,32.47,3.17,0.0779,10.0
Monoraphidium braunii,182.87,7.15,7.29,23.78,104.23,1178.34,4.46,51.5,0.64,0.0695,10.0
Chlorella sorokiniana,67.4,6.73,1.88,26.64,12.75,66.58,8.1,34.33,1.89,0.0475,10.0
Chlorella vulgaris,212.41,7.11,0.5,24.43,12.54,944.19,5.08,27.87,4.37,0.072,10.0
Chlorella vulgaris,170.71,7.01,0.39,24.69,24.15,1283.72,4.5,26.05,5.19,0.0691,10.0
Monoraphidium braunii,214.91,6.87,6.74,26.62,106.59,1072.9,6.19,47.36,0.59,0.0904,10.0
Chlorella vulgaris,213.98,7.16,-1.55,26.55,25.12,1013.84,5.6,33.37,4.29,0.0874,10.0
Monoraphidium braunii,178.11,7.1,6.52,23.12,106.64,1186.5,4.53,36.4,0.62,0.092,10.0
Monoraphidium braunii,207.07,6.97,4.65,25.95,95.75,911.84,6.41,48.09,0.6,0.0745,10.0
Chlorella sorokiniana,69.1,6.86,1.21,25.61,0.51,72.79,8.49,28.21,2.07,0.0456,10.0
Chlamydomonas reinhardtii,183.8,7.65,-0.27,23.58,26.72,996.61,5.63,32.54,4.08,0.0692,10.0
Chlorella vulgaris,203.2,7.19,0.8,24.15,9.4,1012.7,5.23,28.88,4.23,0.0848,10.0
Nannochloropsis gaditana,108.51,8.02,28.85,22.87,24.01,50.81,0.99,19.25,1.64,0.0191,12.0
Nannochloropsis gaditana,85.95,8.18,28.45,23.91,27.17,53.95,1.0,20.66,1.62,0.0276,12.0
Nannochloropsis gaditana,99.3,7.96,31.8,22.19,32.26,51.61,1.1,19.21,1.43,0.0259,12.0
Nannochloropsis gaditana,83.99,8.29,29.9,23.26,25.54,62.26,1.33,20.08,1.48,0.0269,12.0
Chlamydomonas reinhardtii,197.21,7.22,-1.95,25.47,20.46,862.35,4.43,33.26,3.13,0.063,10.0
